blank,session,date,filename,unit,topic,long-topic,title,pad-slug,image,zotero-tag,zotero-readings,objective,tags,contents
,1,17.10,2024-10-17-1.md,Einführung,Vorstellung,Wie hat die Evolutionstheorie die Religionswissenschaft ausgelöst?,1. Einführung: Vorstellung,1,cover-2050.jpg,1-Vorstellung,,,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---"
,2,31.10,2024-10-31-2.md,Ursprünge,Edward Tylor,Wie entwickelt sich Kultur?,2. Ursprünge: Edward Tylor,2,boudha-stupa-kathmandu-2050.jpg,2-Edward-Tylor,tylor11Animismus1873,"Erklären können, welcher Zusammenhang zwischen Edward Tylors Theorie des Animismus und den Debatten und dem Wissensstand seiner Zeit besteht.",[2],"---
layout: post
session: 2
tags: [2]
level: overview
---"
,3,07.11,2024-11-07-3.md,Ursprünge,James Frazer,Was hat Magie mit Religion zu tun?,3. Ursprünge: James Frazer,3,golden-bough-2050.jpg,3-James-Frazer,frazerIVZaubereiUnd1977,"Frazers Versuch, alle Religionen auf eine gemeinsame Wurzel zurückzuführen, als andauernd prägend wahrzunehmen.",[3],"---
layout: post
session: 3
tags: [3]
level: overview
---"
,4,14.11,2024-11-14-4.md,Ursprünge,Aby Warburg,Wie lässt sich Religion anhand von Symbolen verstehen?,4. Ursprünge: Aby Warburg,4,warbug-avec-masque-katchina1.jpg,4-Aby-Warburg,warburgSchlangenritualReisebericht,"Erläutern können, wie Warburgs Interesse an symbolischen Bedeutungen dazu geführt hat, so genannte ""primitive"" Religionen nicht nur als rückständigen Aberglauben zu betrachten.",[4],"---
layout: post
session: 4
tags: [4]
level: overview
---"
,5,21.11,2024-11-21-5.md,Paradigmen (Weltreligionen),Parlament der Weltreligionen,Wie entstand der Begriff Weltreligion?,5. Paradigmen (Weltreligionen): Parlament der Weltreligionen,5,stained-glass-spiral-2050.jpg,5-Parlament-der-Weltreligionen,masuzawaPrefaceIntroduction2005,"Die Erfindung des Begriffs ""Weltreligionen"" mit seinen Konnotationen im europäischen Diskurs skizzieren können.",[5],"---
layout: post
session: 5
tags: [5]
level: overview
---"
,6,28.11,2024-11-28-6.md,Paradigmen (Phänomenologie),Rudolf Otto,Was ist das Heilige?,6. Paradigmen (Phänomenologie): Rudolf Otto,6,06_Vishnu_BhagavadGita-upscaled.jpg,6-Rudolf-Otto,ottoKap141926,,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---"
,7,05.12,2024-12-05-7.md,Paradigmen (Phänomenologie),Mircea Eliade,Wie unterscheidet sich das Heilige vom Profanen?,7. Paradigmen (Phänomenologie): Mircea Eliade,7,mandala-2050.jpg,7-Mircea-Eliade,eliadeEinleitung2016,Phänomenologische Ansätze am Beispiel von Eliades und Ottos Konzeptionen des „Heiligen“ erkennen und anwenden.,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---"
,8,12.12,2024-12-12-8.md,Paradigmen (Strukturfunktionalismus),Mary Douglas,Welche Rolle spielen Reinheit und Gefährdung?,8. Paradigmen (Strukturfunktionalismus): Mary Douglas,8,leaf-dirt-2050.jpg,8-Mary-Douglas,"[douglasAbominationsLeviticus2002, douglasGreuelDrittenBuchs1985]",Strukturfunktionalismus am Beispiel von israelitischen Reinheitsgeboten als religionswissenschaftlicher Ansatz anwenden.,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---"
,9,19.12,2024-12-19-9.md,Paradigmen (Strukturfunktionalismus),Victor und Edith Turner,Wie gehen Menschen symbolisch miteinander um?,9. Paradigmen (Strukturfunktionalismus): Victor und Edith Turner,9,zambia-sunset-2050.jpg,9-Victor-und-Edith-Turner,,,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---"
,10,16.01,2025-01-16-10.md,Paradigmen (Ethnographie),Clifford Geertz,Wie lassen sich Rituale beschreiben?,10. Paradigmen (Ethnographie): Clifford Geertz,10,rooster-2050.jpg,10-Clifford-Geertz,"[geertzThickDescriptionInterpretive1973, geertzDichteBeschreibungBemerkungen2003]",,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---"
,11,23.01,2025-01-23-11.md,Entzauberung,Max Weber,Welche Konsequenzen haben Weltanschauungen für die Wirtschaft (und umgekehrt)?,11. Entzauberung: Max Weber,11,ny-stock-exchange-2050.jpg,11-Max-Weber,wenzelHandoutMaxWeber2024,,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---"
,12,30.01,2025-01-30-12.md,Entzauberung,Pierre Bourdieu,Wie wird auf dem religiösen Marktplatz gehandelt?,12. Entzauberung: Pierre Bourdieu,12,praying-hands-2050.jpg,12-Pierre-Bourdieu,bourdieuFunktionsweiseReligioesenFeldes2000,,[12],"---
layout: post
session: 12
tags: [12]
level: overview
---"
,13,06.02,2025-02-06-13.md,Entzauberung,Jacques Derrida,Wie wird Religion dekonstruiert?,13. Entzauberung: Jacques Derrida,13,demolition.jpg,13-Jacques-Derrida,,,[13],"---
layout: post
session: 13
tags: [13]
level: overview
---"
,14,13.02,2025-02-13-14.md,Abschluss,Rückblick & Ausblick,Wie sieht die Zukunft von Religion und Religionswissenschaft aus?,14. Abschluss: Rückblick & Ausblick,14,decision.jpg,14-Rückblick-Ausblick,,,[14],"---
layout: post
session: 14
tags: [14]
level: overview
---"
